Highlighting;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
Yes;1;6;6;true;2689;
No;1;3;5;false;5771;
No;1;3;5;false;6095;
Yes;1;7;7;true;2345;
No;1;7;6;false;10904;
No;1;3;5;false;6743;
No;1;5;7;false;8442;
Yes;1;3;3;true;1423;
No;1;3;4;false;5769;
No;1;4;6;false;7179;
Yes;1;6;6;true;1391;
No;1;7;8;false;30099;
Yes;1;7;7;true;3119;
Yes;1;4;4;true;1569;
Yes;1;6;6;true;2243;
No;1;4;5;false;11269;
Yes;1;5;5;true;1772;
Yes;1;3;3;true;1287;
No;1;7;6;false;7223;
Yes;1;4;4;true;1152;
Yes;1;6;6;true;4364;
No;1;5;5;true;4114;
No;1;5;5;true;1050;
No;1;7;4;false;1044;
Yes;1;7;7;true;3743;
Yes;1;7;7;true;1829;
Yes;1;5;5;true;2758;
No;1;5;6;false;7008;
No;1;6;6;true;8401;
Yes;1;5;5;true;1855;
No;1;4;6;false;9105;
No;1;4;6;false;3384;
Yes;1;5;5;true;1975;
No;1;4;4;true;13948;
Yes;1;4;4;true;882;
Yes;1;9;9;true;4590;
No;1;5;4;false;12253;
No;1;5;5;true;6007;
Yes;1;6;6;true;2487;
Yes;1;6;6;true;1678;
