Highlighting;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
Yes;1;6;6;true;2358;
No;1;3;3;true;4761;
No;1;3;3;true;8397;
Yes;1;7;7;true;2614;
No;1;7;7;true;10401;
No;1;3;4;false;8281;
No;1;5;7;false;16076;
Yes;1;3;3;true;1206;
No;1;3;3;true;8277;
No;1;4;5;false;7207;
Yes;1;6;6;true;1946;
No;1;7;8;false;10533;
Yes;1;7;7;true;2715;
Yes;1;4;4;true;1807;
Yes;1;6;6;true;2138;
No;1;4;5;false;8913;
Yes;1;5;5;true;1948;
Yes;1;3;3;true;952;
No;1;7;7;true;9446;
Yes;1;4;4;true;1419;
Yes;1;6;6;true;2714;
No;1;5;5;true;8077;
No;1;5;5;true;7425;
No;1;7;6;false;10385;
Yes;1;7;7;true;2580;
Yes;1;7;7;true;2169;
Yes;1;5;5;true;2595;
No;1;5;5;true;7617;
No;1;6;6;true;10389;
Yes;1;5;5;true;2450;
No;1;4;4;true;8309;
No;1;4;5;false;13846;
Yes;1;5;5;true;2203;
No;1;4;4;true;9849;
Yes;1;4;4;true;1438;
Yes;1;9;9;true;3827;
No;1;5;5;true;8294;
No;1;5;5;true;5273;
Yes;1;6;6;true;3435;
Yes;1;6;6;true;3065;
